user_name,youtube_total_comments,youtube_positive_count,youtube_positive_pct,youtube_negative_count,youtube_negative_pct,youtube_neutral_count,youtube_neutral_pct,youtube_sentiment_score,tiktok_total_comments,tiktok_positive_count,tiktok_positive_pct,tiktok_negative_count,tiktok_negative_pct,tiktok_neutral_count,tiktok_neutral_pct,tiktok_sentiment_score,global_score
jessnarjess,141.0,135.0,95.74,1.0,0.71,5.0,3.55,95.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04
jihed_cherni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
jihenemiled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,212.0,82.17,14.0,5.43,32.0,12.4,76.74,76.74
k__obs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,107.0,35.67,63.0,21.0,130.0,43.33,14.67,14.67
kenzatestouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,193.0,86.55,5.0,2.24,25.0,11.21,84.3,84.3
lacrazyrevolution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,243.0,81.0,22.0,7.33,35.0,11.67,73.67,73.67
lady.samara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,259.0,86.33,11.0,3.67,30.0,10.0,82.67,82.67
lety__lo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,157.0,91.81,2.0,1.17,12.0,7.02,90.64,90.64
liliabenaziza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,151.0,79.89,8.0,4.23,30.0,15.87,75.66,75.66
lina_khouili,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,112.0,84.85,4.0,3.03,16.0,12.12,81.82,81.82
lobna sediri,300.0,227.0,75.67,15.0,5.0,58.0,19.33,70.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.67
lobnasediri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,172.0,74.78,17.0,7.39,41.0,17.83,67.39,67.39
lydiaasli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,107.0,72.3,5.0,3.38,36.0,24.32,68.92,68.92
lynda_toumy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,235.0,82.46,11.0,3.86,39.0,13.68,78.6,78.6
macneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,79.63,3.0,5.56,8.0,14.81,74.07,74.07
malouchelamis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,55.88,0.0,0.0,15.0,44.12,55.88,55.88
manelamara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,234.0,78.0,27.0,9.0,39.0,13.0,69.0,69.0
maroua_issa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,132.0,81.48,8.0,4.94,22.0,13.58,76.54,76.54
maryem.hz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,151.0,76.26,8.0,4.04,39.0,19.7,72.22,72.22
maryem__sakka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,33.0,91.67,0.0,0.0,3.0,8.33,91.67,91.67
mayssa.ferchichi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,246.0,82.27,24.0,8.03,29.0,9.7,74.25,74.25
medchou,300.0,236.0,78.67,19.0,6.33,45.0,15.0,69.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.53
miniarrkhami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,260.0,86.67,12.0,4.0,28.0,9.33,82.67,82.67
mohamed.frigui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,270.0,90.0,11.0,3.67,19.0,6.33,86.33,86.33
